video_name,subgroup,true_label,predicted,correct,prob_real,prob_diffusion,prob_deepfake,confidence
sora_0036.mp4,sora,diffusion,real,False,0.9893732666969299,0.0032767162192612886,0.007350069470703602,0.9893732666969299
948.mp4,real(numeric),real,deepfake,False,0.00912189669907093,0.0033719022758305073,0.9875061511993408,0.9875061511993408
972.mp4,real(numeric),real,diffusion,False,0.0188435148447752,0.980410635471344,0.0007458665641024709,0.980410635471344
943.mp4,real(numeric),real,diffusion,False,0.02017951011657715,0.9778932929039001,0.0019272612407803535,0.9778932929039001
Grok_0007.mp4,grok,diffusion,real,False,0.9762973189353943,0.00760386697947979,0.016098862513899803,0.9762973189353943
id22_0009.mp4,real(id_pattern),real,deepfake,False,0.02621944434940815,0.007182196248322725,0.9665983319282532,0.9665983319282532
03_14__walking_down_street_outside_angry__H0VQHGS3.mp4,faceforensics(__),deepfake,diffusion,False,0.0021802110131829977,0.9634751081466675,0.034344613552093506,0.9634751081466675
02_15__talking_against_wall__HTG660F8.mp4,faceforensics(__),deepfake,diffusion,False,0.01783331297338009,0.9591105580329895,0.023056166246533394,0.9591105580329895
974.mp4,real(numeric),real,deepfake,False,0.02364952862262726,0.017695317044854164,0.9586551189422607,0.9586551189422607
id25_0010.mp4,real(id_pattern),real,deepfake,False,0.0438603013753891,0.01305160392075777,0.9430880546569824,0.9430880546569824
952.mp4,real(numeric),real,diffusion,False,0.035365983843803406,0.9361222982406616,0.028511669486761093,0.9361222982406616
02_15__walking_outside_cafe_disgusted__MZWH8ATN.mp4,faceforensics(__),deepfake,diffusion,False,0.008826477453112602,0.9332181215286255,0.057955410331487656,0.9332181215286255
02_25__talking_against_wall__Z7FQ69VP.mp4,faceforensics(__),deepfake,diffusion,False,0.021550407633185387,0.9315277934074402,0.04692183807492256,0.9315277934074402
sora_0053.mp4,sora,diffusion,real,False,0.9235499501228333,0.002853906247764826,0.07359611988067627,0.9235499501228333
Grok_0008.mp4,grok,diffusion,deepfake,False,0.055661432445049286,0.03064843639731407,0.9136900901794434,0.9136900901794434
sora_0041.mp4,sora,diffusion,real,False,0.9123785495758057,0.015126792713999748,0.07249466329813004,0.9123785495758057
973.mp4,real(numeric),real,diffusion,False,0.0547848604619503,0.9063107371330261,0.03890446946024895,0.9063107371330261
935.mp4,real(numeric),real,diffusion,False,0.06714425981044769,0.9047498106956482,0.02810589410364628,0.9047498106956482
sora_0038.mp4,sora,diffusion,deepfake,False,0.012180457822978497,0.08310987800359726,0.9047096371650696,0.9047096371650696
id17_0005.mp4,real(id_pattern),real,deepfake,False,0.059338632971048355,0.04442068189382553,0.8962406516075134,0.8962406516075134
942.mp4,real(numeric),real,diffusion,False,0.053564444184303284,0.8925147652626038,0.05392074212431908,0.8925147652626038
Grok_0006.mp4,grok,diffusion,deepfake,False,0.054217226803302765,0.0644984319806099,0.8812843561172485,0.8812843561172485
id25_0001.mp4,real(id_pattern),real,deepfake,False,0.14885231852531433,0.006782879121601582,0.8443647623062134,0.8443647623062134
sora_0029.mp4,sora,diffusion,deepfake,False,0.0957542359828949,0.06366856396198273,0.8405771851539612,0.8405771851539612
937.mp4,real(numeric),real,deepfake,False,0.0642562136054039,0.10119067877531052,0.834553062915802,0.834553062915802
02_13__hugging_happy__PLNVLO74.mp4,faceforensics(__),deepfake,real,False,0.8287350535392761,0.05197744444012642,0.11928749829530716,0.8287350535392761
id16_0005.mp4,real(id_pattern),real,diffusion,False,0.15278096497058868,0.8193072080612183,0.027911845594644547,0.8193072080612183
kling_0011.mp4,kling,diffusion,deepfake,False,0.15407218039035797,0.03564823791384697,0.8102795481681824,0.8102795481681824
sora_0003.mp4,sora,diffusion,real,False,0.8080278038978577,0.030108854174613953,0.1618633270263672,0.8080278038978577
Seedance_0014.mp4,seedance,diffusion,real,False,0.8072881102561951,0.06727547943592072,0.12543639540672302,0.8072881102561951
id0_id16_0007.mp4,id_id(faceswap),deepfake,real,False,0.8043628334999084,0.0011964139994233847,0.19444075226783752,0.8043628334999084
02_13__kitchen_pan__2YSYT2N3.mp4,faceforensics(__),deepfake,real,False,0.802346408367157,0.048782434314489365,0.14887115359306335,0.802346408367157
985.mp4,real(numeric),real,deepfake,False,0.17460830509662628,0.03365106135606766,0.7917406558990479,0.7917406558990479
989.mp4,real(numeric),real,deepfake,False,0.18103551864624023,0.03453086316585541,0.7844336032867432,0.7844336032867432
