video_name,subgroup,true_label,pred_stage1,pred_stage2,predicted,correct,error_source,prob_real,prob_fake,prob_diffusion_given_fake,prob_deepfake_given_fake,prob_diffusion,prob_deepfake,confidence
936.mp4,real(numeric),real,fake,diffusion,diffusion,False,stage1,0.009403229,0.9905968,0.9957931,0.0042068795,0.98642945,0.004167321,0.98642945
972.mp4,real(numeric),real,fake,diffusion,diffusion,False,stage1,0.031636596,0.9683634,0.9981678,0.0018321779,0.96658915,0.001774214,0.96658915
Grok_0007.mp4,grok,diffusion,real,deepfake,real,False,stage1,0.949359,0.050640985,0.1146996,0.8853004,0.005808501,0.044832483,0.949359
sora_0004.mp4,sora,diffusion,real,deepfake,real,False,stage1,0.89628786,0.10371214,0.0069737434,0.99302626,0.00072326185,0.10298888,0.89628786
00084.mp4,real(numeric),real,fake,deepfake,deepfake,False,stage1,0.08644593,0.9135541,0.047097683,0.9529023,0.04302628,0.8705278,0.8705278
kling_0020.mp4,kling,diffusion,real,diffusion,real,False,stage1,0.8511509,0.14884911,0.9826656,0.017334387,0.1462689,0.002580208,0.8511509
0001_fake.mp4,deepfake(N_fake),deepfake,real,deepfake,real,False,stage1,0.84157294,0.15842704,0.0044516325,0.99554837,0.000705259,0.15772179,0.84157294
sora_0052.mp4,sora,diffusion,real,deepfake,real,False,stage1,0.8250929,0.17490712,0.0028606653,0.99713933,0.0005003507,0.17440677,0.8250929
995.mp4,real(numeric),real,fake,diffusion,diffusion,False,stage1,0.16396844,0.83603156,0.98260367,0.017396323,0.82148767,0.014543875,0.82148767
Seedance_0015.mp4,seedance,diffusion,real,deepfake,real,False,stage1,0.8208835,0.1791165,0.2856109,0.7143891,0.051157627,0.12795888,0.8208835
00067.mp4,real(numeric),real,fake,deepfake,deepfake,False,stage1,0.17786545,0.82213455,0.0026137233,0.9973863,0.0021488322,0.81998575,0.81998575
0048_fake.mp4,deepfake(N_fake),deepfake,real,deepfake,real,False,stage1,0.8051737,0.19482632,0.18908644,0.81091356,0.036839016,0.15798731,0.8051737
990.mp4,real(numeric),real,fake,deepfake,deepfake,False,stage1,0.16132712,0.8386729,0.04125595,0.95874405,0.034600247,0.8040726,0.8040726
986.mp4,real(numeric),real,fake,deepfake,deepfake,False,stage1,0.13986635,0.86013365,0.069188714,0.9308113,0.059511542,0.8006221,0.8006221
0020_fake.mp4,deepfake(N_fake),deepfake,real,diffusion,real,False,stage1,0.7989969,0.20100306,0.95038235,0.049617663,0.19102976,0.0099733025,0.7989969
sora_0036.mp4,sora,diffusion,fake,deepfake,deepfake,False,stage2,0.04826665,0.95173335,0.16323185,0.83676815,0.15535319,0.79638016,0.79638016
0037_fake.mp4,deepfake(N_fake),deepfake,real,diffusion,real,False,stage1,0.7945686,0.20543139,0.9729069,0.027093086,0.19986561,0.0055657704,0.7945686
id0_id20_0006.mp4,id_id(faceswap),deepfake,real,deepfake,real,False,stage1,0.7341846,0.26581535,0.09391844,0.90608156,0.024964964,0.24085039,0.7341846
id19_0008.mp4,real(id_pattern),real,fake,diffusion,diffusion,False,stage1,0.19131762,0.8086824,0.89804995,0.10195006,0.7262372,0.08244521,0.7262372
00039.mp4,real(numeric),real,fake,deepfake,deepfake,False,stage1,0.27280003,0.7272,0.0036622286,0.9963378,0.0026631725,0.7245368,0.7245368
id0_id26_0009.mp4,id_id(faceswap),deepfake,real,deepfake,real,False,stage1,0.7217175,0.2782825,0.0058267713,0.9941732,0.0016214885,0.276661,0.7217175
0014_fake.mp4,deepfake(N_fake),deepfake,real,deepfake,real,False,stage1,0.6697558,0.33024415,0.09931278,0.9006872,0.032797467,0.2974467,0.6697558
00008.mp4,real(numeric),real,fake,diffusion,diffusion,False,stage1,0.23949713,0.7605029,0.8741172,0.12588279,0.66476864,0.09573422,0.66476864
960.mp4,real(numeric),real,fake,deepfake,deepfake,False,stage1,0.25419986,0.74580014,0.118605316,0.8813947,0.08845586,0.6573443,0.6573443
id22_0003.mp4,real(id_pattern),real,fake,deepfake,deepfake,False,stage1,0.3204924,0.6795076,0.039349258,0.96065074,0.02673812,0.6527695,0.6527695
0044.mp4,real(numeric),real,fake,deepfake,deepfake,False,stage1,0.3390965,0.6609035,0.014934957,0.98506504,0.0098705655,0.6510329,0.6510329
Veo_0025.mp4,veo,diffusion,fake,deepfake,deepfake,False,stage2,0.030853689,0.9691463,0.33310837,0.66689163,0.32283074,0.6463156,0.6463156
kling_0059.mp4,kling,diffusion,real,deepfake,real,False,stage1,0.62621456,0.37378544,0.35222673,0.64777327,0.13165723,0.24212821,0.62621456
id0_id9_0009.mp4,id_id(faceswap),deepfake,real,deepfake,real,False,stage1,0.61827517,0.3817248,0.0061241984,0.9938758,0.0023377584,0.37938705,0.61827517
00080.mp4,real(numeric),real,fake,deepfake,deepfake,False,stage1,0.3781669,0.6218331,0.025284529,0.9747155,0.015722757,0.60611033,0.60611033
sora_0015.mp4,sora,diffusion,fake,deepfake,deepfake,False,stage2,0.17078954,0.82921046,0.27772802,0.722272,0.23029499,0.59891546,0.59891546
id25_0003.mp4,real(id_pattern),real,fake,deepfake,deepfake,False,stage1,0.42058146,0.57941854,0.04406172,0.9559383,0.025530178,0.5538884,0.5538884
0012.mp4,real(numeric),real,fake,deepfake,deepfake,False,stage1,0.53756917,0.46243083,0.001271069,0.99872893,0.00058778154,0.46184304,0.53756917
00061.mp4,real(numeric),real,fake,deepfake,deepfake,False,stage1,0.49851513,0.5014849,0.017108917,0.9828911,0.008579863,0.49290502,0.49851513
sora_0028.mp4,sora,diffusion,fake,deepfake,deepfake,False,stage2,0.38010377,0.61989623,0.2682547,0.7317453,0.16629007,0.45360616,0.45360616
